SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,EntityType,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"15 - 16 School Year","82","Wayne RESA","82933","Timbuktu Academy","00000","Administrative Unit","Administrative Unit","City: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82933","Timbuktu Academy","08572","Timbuktu Academy","PSA School","City: Large","345","161","184","0","0","343","0","0","2","0","39","41","44","45","50","39","36","30","21","0","0","0","0","345","26","<10"
"15 - 16 School Year","82","Wayne RESA","82754","Tipton Academy","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82754","Tipton Academy","02870","Tipton Academy - 4-7","PSA School","Suburb: Large","193","93","100","0","0","50","5","0","130","8","0","0","0","0","49","59","52","33","0","0","0","0","0","135","20","<10"
"15 - 16 School Year","82","Wayne RESA","82754","Tipton Academy","01734","Tipton Academy - PK-3","PSA School","Suburb: Large","246","103","143","0","0","64","12","0","155","15","76","72","49","49","0","0","0","0","0","0","0","0","0","168","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82155","Trenton Public Schools","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82155","Trenton Public Schools","06130","Boyd W. Arthurs Middle School","LEA School","Suburb: Large","621","322","299","1","8","13","36","0","556","7","0","0","0","0","0","0","193","209","219","0","0","0","0","136","93","<10"
"15 - 16 School Year","82","Wayne RESA","82155","Trenton Public Schools","01927","Jesse L. Anderson Elementary School","LEA School","Suburb: Large","518","267","251","2","4","8","28","0","462","14","85","75","82","98","88","90","0","0","0","0","0","0","0","128","75","<10"
"15 - 16 School Year","82","Wayne RESA","82155","Trenton Public Schools","03189","Richard C. Hedke Elem. School","LEA School","Suburb: Large","526","263","263","1","3","13","41","0","449","19","79","78","90","100","87","92","0","0","0","0","0","0","0","171","108","<10"
"15 - 16 School Year","82","Wayne RESA","82155","Trenton Public Schools","04203","Trenton High School","LEA School","Suburb: Large","974","495","479","1","9","14","57","1","870","22","0","0","0","0","0","0","0","0","0","249","235","236","253","178","130","<10"
"15 - 16 School Year","82","Wayne RESA","82973","Trillium Academy","00000","Administrative Unit","Administrative Unit","City: Small","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82973","Trillium Academy","09094","Trillium Academy","PSA School","City: Small","626","311","315","1","8","210","65","2","323","17","48","62","61","52","53","48","49","51","49","37","40","37","39","392","74","35"
"15 - 16 School Year","82","Wayne RESA","82950","Universal Academy","00000","Administrative Unit","Administrative Unit","City: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82950","Universal Academy","08671","Universal Academy","PSA School","City: Large","732","364","368","0","1","17","22","0","691","1","48","59","51","58","54","58","60","58","58","62","61","46","59","732","27","466"
"15 - 16 School Year","82","Wayne RESA","82982","Universal Learning Academy","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82982","Universal Learning Academy","09827","Universal Learning Academy","PSA School","Suburb: Large","672","332","340","1","12","60","14","0","568","17","50","67","64","71","80","74","74","62","45","35","27","23","0","522","20","307"
"15 - 16 School Year","82","Wayne RESA","82702","University Preparatory Academy (PSAD)","00000","Administrative Unit","Administrative Unit","City: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82702","University Preparatory Academy (PSAD)","09908","University Preparatory Academy (PSAD) - Elementary","PSA School","City: Large","476","243","233","0","1","451","2","0","1","21","67","81","81","80","84","83","0","0","0","0","0","0","0","362","30","<10"
"15 - 16 School Year","82","Wayne RESA","82702","University Preparatory Academy (PSAD)","09887","University Preparatory Academy (PSAD) - Elementary","PSA School","City: Large","354","192","162","0","0","333","0","0","3","18","52","61","63","52","65","61","0","0","0","0","0","0","0","272","46","<10"
"15 - 16 School Year","82","Wayne RESA","82702","University Preparatory Academy (PSAD)","09889","University Preparatory Academy (PSAD) - High School","PSA School","City: Large","596","311","285","1","0","584","1","0","0","10","0","0","0","0","0","0","0","0","0","163","148","146","139","404","60","<10"
"15 - 16 School Year","82","Wayne RESA","82702","University Preparatory Academy (PSAD)","09888","University Preparatory Academy (PSAD) - Middle","PSA School","City: Large","434","212","222","1","0","418","0","1","0","14","0","0","0","0","0","0","123","151","160","0","0","0","0","346","50","<10"
"15 - 16 School Year","82","Wayne RESA","82701","University Preparatory Science and Math (PSAD)","00000","Administrative Unit","Administrative Unit","City: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82701","University Preparatory Science and Math (PSAD)","00506","University Preparatory Science and Math (PSAD) High School","PSA School","City: Large","469","245","224","0","1","444","1","0","2","21","0","0","0","0","0","0","0","0","0","130","126","123","90","304","34","<10"
"15 - 16 School Year","82","Wayne RESA","82701","University Preparatory Science and Math (PSAD)","09907","University Preparatory Science and Math (PSAD) Middle School","PSA School","City: Large","440","234","206","0","0","416","2","0","3","19","0","0","0","0","0","0","155","146","139","0","0","0","0","264","29","<10"
"15 - 16 School Year","82","Wayne RESA","82701","University Preparatory Science and Math (PSAD)","01567","University Preparatory Science and Math - Elementary","PSA School","City: Large","522","265","257","0","0","494","1","0","6","21","73","74","95","89","92","99","0","0","0","0","0","0","0","366","32","<10"
"15 - 16 School Year","82","Wayne RESA","82724","University Yes Academy","00000","Administrative Unit","Administrative Unit","City: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82724","University Yes Academy","00378","University Yes Academy","PSA School","City: Large","911","471","440","1","0","908","1","0","1","0","38","61","65","58","65","69","84","107","106","100","93","65","0","671","113","<10"
"15 - 16 School Year","82","Wayne RESA","82430","Van Buren Public Schools","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82430","Van Buren Public Schools","00264","Belleville High School","LEA School","Suburb: Large","1717","856","861","12","23","807","42","3","798","32","0","0","0","0","0","0","0","0","0","489","459","410","348","701","206","19"
"15 - 16 School Year","82","Wayne RESA","82430","Van Buren Public Schools","01071","Edgemont Elementary School","LEA School","Suburb: Large","416","224","192","2","2","110","18","0","260","24","71","83","69","99","94","0","0","0","0","0","0","0","0","242","70","10"
"15 - 16 School Year","82","Wayne RESA","82430","Van Buren Public Schools","02151","Haggerty School","LEA School","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82430","Van Buren Public Schools","05988","McBride Middle School","LEA School","Suburb: Large","736","374","362","2","5","324","25","0","361","19","0","0","0","0","0","0","1","341","394","0","0","0","0","388","95","<10"
"15 - 16 School Year","82","Wayne RESA","82430","Van Buren Public Schools","00263","Owen Intermediate School","LEA School","Suburb: Large","722","378","344","4","11","302","30","0","351","24","0","0","0","0","0","368","354","0","0","0","0","0","0","400","99","<10"
"15 - 16 School Year","82","Wayne RESA","82430","Van Buren Public Schools","03157","Rawsonville Elementary School","LEA School","Suburb: Large","460","256","204","1","1","232","29","0","178","19","77","93","96","89","105","0","0","0","0","0","0","0","0","378","71","15"
"15 - 16 School Year","82","Wayne RESA","82430","Van Buren Public Schools","06827","Savage Road Elementary School","LEA School","Suburb: Large","412","208","204","2","6","136","9","0","248","11","90","82","82","75","83","0","0","0","0","0","0","0","0","154","52","11"
"15 - 16 School Year","82","Wayne RESA","82430","Van Buren Public Schools","06826","Tyler Road Elementary School","LEA School","Suburb: Large","380","206","174","2","10","199","8","1","139","21","68","69","79","73","91","0","0","0","0","0","0","0","0","245","51","23"
"15 - 16 School Year","82","Wayne RESA","82716","Vista Meadows Academy","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82716","Vista Meadows Academy","09906","Vista Meadows Academy","PSA School","Suburb: Large","112","55","57","0","0","106","0","0","6","0","0","0","0","0","0","0","0","0","0","32","27","31","22","112","27","<10"
"15 - 16 School Year","82","Wayne RESA","82940","Voyageur Academy","00000","Administrative Unit","Administrative Unit","City: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82940","Voyageur Academy","08631","Voyageur Academy","PSA School","City: Large","617","307","310","0","0","430","149","0","38","0","62","62","65","57","72","66","65","86","82","0","0","0","0","508","34","13"
"15 - 16 School Year","82","Wayne RESA","82940","Voyageur Academy","09154","Voyageur College Prep","PSA School","City: Large","428","203","225","0","2","366","45","2","13","0","0","0","0","0","0","0","0","0","0","124","105","100","99","389","61","<10"
"15 - 16 School Year","82","Wayne RESA","82746","W-A-Y Academy","00000","Administrative Unit","Administrative Unit","City: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82746","W-A-Y Academy","01241","W-A-Y Academy - Chicago Site","PSA School","City: Large","149","89","60","0","0","145","3","0","1","0","0","0","0","0","0","0","0","15","9","67","22","18","18","149","36","<10"
"15 - 16 School Year","82","Wayne RESA","82746","W-A-Y Academy","03245","W-A-Y Academy - Roseville Site","PSA School","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82746","W-A-Y Academy","01390","W-A-Y Academy - Vernor Site","PSA School","City: Large","265","136","129","3","0","39","154","0","69","0","0","0","0","0","0","0","0","0","0","112","71","52","30","265","34","120"
"15 - 16 School Year","82","Wayne RESA","82970","Warrendale Charter Academy","00000","Administrative Unit","Administrative Unit","City: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82970","Warrendale Charter Academy","08934","Warrendale Charter Academy","PSA School","City: Large","717","362","355","0","0","684","22","0","11","0","104","84","86","78","77","81","71","68","68","0","0","0","0","691","62","21"
"15 - 16 School Year","82","Wayne RESA","82719","Washington-Parks Academy","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82719","Washington-Parks Academy","00133","Lincoln-King Academy","PSA School","City: Large","577","300","277","0","0","538","8","0","6","25","47","52","81","78","74","77","56","57","55","0","0","0","0","544","54","<10"
"15 - 16 School Year","82","Wayne RESA","82719","Washington-Parks Academy","00132","Washington-Parks Academy","PSA School","Suburb: Large","822","390","432","1","1","775","7","0","2","36","86","107","109","101","108","101","80","78","52","0","0","0","0","694","64","<10"
"15 - 16 School Year","82","Wayne RESA","82710","WAY Michigan","00000","Administrative Unit","Administrative Unit","City: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82710","WAY Michigan","02302","WAY Michigan","PSA School","City: Large","77","23","54","2","1","19","4","0","51","0","0","0","0","0","0","0","0","2","2","21","17","18","17","48","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82000","Wayne RESA  - District created from ISD","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","00017","Adams Upper Elementary School","LEA School","Suburb: Large","850","452","398","2","4","253","63","0","475","53","0","0","2","3","2","443","400","0","0","0","0","0","0","632","158","27"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","04926","Adlai Stevenson Middle School","LEA School","Suburb: Large","826","429","397","2","15","291","44","1","456","17","0","0","0","0","0","0","0","413","413","0","0","0","0","465","100","19"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","00043","Albert Schweitzer Elementary School","LEA School","Suburb: Large","363","186","177","1","3","66","23","0","245","25","77","65","75","74","72","0","0","0","0","0","0","0","0","236","40","17"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","00048","Alexander Hamilton Elementary School","LEA School","Suburb: Large","509","261","248","3","3","133","27","2","314","27","103","110","103","106","87","0","0","0","0","0","0","0","0","363","66","12"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","00273","Benjamin Franklin Middle School","LEA School","Suburb: Large","835","433","402","2","10","274","66","0","457","26","0","0","0","0","0","1","2","395","433","3","0","1","0","592","169","16"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","00874","David Hicks School","LEA School","Suburb: Large","474","237","237","2","5","334","25","1","87","20","90","95","95","102","92","0","0","0","0","0","0","0","0","419","54","23"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","01111","Eugene B. Elliott Elem. School","LEA School","Suburb: Large","371","188","183","4","8","106","20","1","203","29","61","88","66","87","69","0","0","0","0","0","0","0","0","280","46","22"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","05295","Hoover Elementary School","LEA School","Suburb: Large","288","160","128","0","1","66","20","0","186","15","44","67","59","56","62","0","0","0","0","0","0","0","0","205","41","<10"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","01950","John Glenn High School","LEA School","Suburb: Large","1772","933","839","5","19","723","69","1","930","25","0","0","0","0","0","0","0","0","0","503","417","418","405","890","235","34"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","01956","John Marshall Upper Elementary School","LEA School","Suburb: Large","818","420","398","3","8","283","43","1","458","22","0","0","0","0","1","422","395","0","0","0","0","0","0","487","113","23"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","05881","P.D. Graham Elementary School","LEA School","Suburb: Large","395","188","207","2","17","84","17","1","263","11","61","83","82","83","86","0","0","0","0","0","0","0","0","195","44","30"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","03262","Roosevelt/McGrath Elem. School","LEA School","Suburb: Large","348","171","177","0","6","78","22","1","216","25","69","84","63","62","64","5","1","0","0","0","0","0","0","263","78","10"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","08475","Stottlemyer Early Childhood Ctr.","LEA Unique Education Provider","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","04130","Taft-Galloway Elementary School","LEA School","Suburb: Large","324","172","152","1","5","99","31","0","171","17","55","80","64","63","62","0","0","0","0","0","0","0","0","264","53","22"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","04158","Thomas A. Edison Elem. School","LEA School","Suburb: Large","478","231","247","2","8","190","27","0","230","21","96","92","95","107","88","0","0","0","0","0","0","0","0","331","42","38"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","00660","Tinkham Alternative Education","LEA School","Suburb: Large","83","52","31","0","0","35","6","0","42","0","0","0","0","0","0","0","0","0","0","26","23","19","15","57","22","<10"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","04334","Walker-Winter Elementary School","LEA School","Suburb: Large","366","183","183","1","9","82","25","1","228","20","74","71","79","69","73","0","0","0","0","0","0","0","0","191","36","30"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","04407","Wayne Memorial High School","LEA School","Suburb: Large","1752","876","876","16","23","611","90","1","991","20","0","0","0","0","0","0","0","0","0","586","434","352","347","1119","281","22"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","09241","Wayne-Westland Adult and Community Education","LEA School","Suburb: Large","99","56","43","1","2","30","4","0","61","1","0","0","0","0","0","0","0","0","0","25","34","15","25","50","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","05552","Wildwood Elementary School","LEA School","Suburb: Large","485","258","227","1","15","69","35","2","350","13","73","93","104","117","98","0","0","0","0","0","0","0","0","273","68","64"
"15 - 16 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","07026","William Ford Career-Tech Center","LEA Unique Education Provider","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82959","West Village Academy","00000","Administrative Unit","Administrative Unit","City: Small","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82959","West Village Academy","08733","West Village Academy","PSA School","City: Small","493","234","259","0","2","430","19","0","39","3","59","56","59","53","56","63","60","41","46","0","0","0","0","422","48","<10"
"15 - 16 School Year","82","Wayne RESA","82943","Weston Preparatory Academy","00000","Administrative Unit","Administrative Unit","City: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82943","Weston Preparatory Academy","08641","Weston Preparatory Academy","PSA School","City: Large","312","146","166","0","0","303","6","0","3","0","31","23","37","38","33","42","38","33","37","0","0","0","0","241","44","<10"
"15 - 16 School Year","82","Wayne RESA","82240","Westwood Community School District","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82240","Westwood Community School District","00867","Daly School","LEA School","Suburb: Large","195","104","91","0","0","167","7","0","21","0","29","27","26","30","30","25","28","0","0","0","0","0","0","169","26","<10"
"15 - 16 School Year","82","Wayne RESA","82240","Westwood Community School District","03238","Robichaud Senior High School","LEA School","Suburb: Large","419","219","200","0","3","390","5","1","20","0","0","0","0","0","0","0","0","0","0","139","92","89","99","311","69","<10"
"15 - 16 School Year","82","Wayne RESA","82240","Westwood Community School District","04177","Thorne Elementary School","LEA School","Suburb: Large","772","385","387","2","2","552","27","0","162","27","108","118","111","114","122","107","92","0","0","0","0","0","0","681","98","21"
"15 - 16 School Year","82","Wayne RESA","82240","Westwood Community School District","09536","Tomlinson Middle School","LEA School","Suburb: Large","235","123","112","0","2","202","6","0","25","0","0","0","0","0","0","0","2","132","101","0","0","0","0","203","56","<10"
"15 - 16 School Year","82","Wayne RESA","82240","Westwood Community School District","02476","Westwood Alternative Education High School North","LEA School","Suburb: Large","77","55","22","1","1","55","3","0","17","0","0","0","0","0","0","0","0","0","0","11","24","26","16","50","11","<10"
"15 - 16 School Year","82","Wayne RESA","82240","Westwood Community School District","09935","Westwood Cyber High School","LEA School","Suburb: Large","318","137","181","5","0","110","15","0","188","0","0","0","0","0","0","0","0","0","0","93","100","65","60","177","41","<10"
"15 - 16 School Year","82","Wayne RESA","82240","Westwood Community School District","09642","Westwood Pre-School","LEA Unique Education Provider","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82365","Woodhaven-Brownstown School District","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82365","Woodhaven-Brownstown School District","00216","Bates Elementary School","LEA School","Suburb: Large","457","234","223","0","22","45","37","0","325","28","58","67","85","96","75","76","0","0","0","0","0","0","0","224","58","26"
"15 - 16 School Year","82","Wayne RESA","82365","Woodhaven-Brownstown School District","05298","Brownstown Middle School","LEA School","Suburb: Large","775","396","379","1","41","94","69","0","550","20","0","0","0","0","0","0","382","393","0","0","0","0","0","279","93","21"
"15 - 16 School Year","82","Wayne RESA","82365","Woodhaven-Brownstown School District","06682","Erving Elementary School","LEA School","Suburb: Large","396","200","196","1","13","28","32","0","304","18","58","62","62","73","75","66","0","0","0","0","0","0","0","181","53","16"
"15 - 16 School Year","82","Wayne RESA","82365","Woodhaven-Brownstown School District","06420","Gudith Elementary School","LEA School","Suburb: Large","457","234","223","0","64","91","51","0","238","13","73","64","88","81","79","72","0","0","0","0","0","0","0","258","70","48"
"15 - 16 School Year","82","Wayne RESA","82365","Woodhaven-Brownstown School District","01188","Maple Grove Alternative High School","LEA School","Suburb: Large","88","55","33","1","0","13","7","0","64","3","0","0","0","0","0","0","0","0","0","0","8","25","55","25","27","<10"
"15 - 16 School Year","82","Wayne RESA","82365","Woodhaven-Brownstown School District","06683","Patrick Henry Middle School","LEA School","Suburb: Large","820","421","399","5","47","94","54","0","604","16","0","0","0","0","0","0","0","0","401","419","0","0","0","263","86","25"
"15 - 16 School Year","82","Wayne RESA","82365","Woodhaven-Brownstown School District","02350","Special Education Building","LEA School","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82365","Woodhaven-Brownstown School District","06825","Wegienka Elementary School","LEA School","Suburb: Large","465","251","214","2","24","69","27","0","337","6","106","76","67","84","69","63","0","0","0","0","0","0","0","172","58","16"
"15 - 16 School Year","82","Wayne RESA","82365","Woodhaven-Brownstown School District","06288","Woodhaven High School","LEA School","Suburb: Large","1180","574","606","6","68","185","80","0","816","25","0","0","0","0","0","0","0","0","0","0","454","372","354","354","137","16"
"15 - 16 School Year","82","Wayne RESA","82365","Woodhaven-Brownstown School District","06131","Yake Elementary School","LEA School","Suburb: Large","392","214","178","2","21","35","31","0","288","15","84","77","65","56","51","59","0","0","0","0","0","0","0","132","47","20"
"15 - 16 School Year","82","Wayne RESA","82170","Wyandotte, School District of the City of","00000","Administrative Unit","Administrative Unit","Suburb: Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","82","Wayne RESA","82170","Wyandotte, School District of the City of","01367","Garfield Elementary School","LEA School","Suburb: Large","440","207","233","0","0","14","77","2","336","11","81","70","63","81","56","89","0","0","0","0","0","0","0","290","54","24"
"15 - 16 School Year","82","Wayne RESA","82170","Wyandotte, School District of the City of","01900","Jefferson Elementary School","LEA School","Suburb: Large","516","265","251","5","0","17","40","5","448","1","81","82","85","101","84","83","0","0","0","0","0","0","0","302","76","15"
"15 - 16 School Year","82","Wayne RESA","82170","Wyandotte, School District of the City of","00008","Jo Brighton Skills Center","LEA School","Suburb: Large","224","120","104","1","1","42","18","0","156","6","0","0","0","0","0","0","1","8","11","11","12","14","21","142","224","<10"
"15 - 16 School Year","82","Wayne RESA","82170","Wyandotte, School District of the City of","06726","Madison School","LEA School","Suburb: Large","172","102","70","0","4","29","23","0","115","1","7","4","12","10","8","13","12","8","8","13","10","8","10","109","172","<10"
"15 - 16 School Year","82","Wayne RESA","82170","Wyandotte, School District of the City of","02591","Monroe Elementary School","LEA School","Suburb: Large","359","183","176","5","2","16","24","0","311","1","52","55","67","67","59","59","0","0","0","0","0","0","0","216","58","<10"
"15 - 16 School Year","82","Wayne RESA","82170","Wyandotte, School District of the City of","03267","Roosevelt High School","LEA School","Suburb: Large","1342","675","667","3","7","58","96","0","1167","11","0","0","0","0","0","0","0","0","0","393","345","324","280","596","150","<10"
"15 - 16 School Year","82","Wayne RESA","82170","Wyandotte, School District of the City of","08828","The Lincoln Center","LEA School","Suburb: Large","206","164","42","0","3","45","11","0","140","7","14","19","10","21","11","21","17","15","7","11","13","9","9","145","206","<10"
"15 - 16 School Year","82","Wayne RESA","82170","Wyandotte, School District of the City of","04389","Washington Elementary School","LEA School","Suburb: Large","355","179","176","0","1","8","51","0","278","17","51","61","51","61","74","57","0","0","0","0","0","0","0","188","35","10"
"15 - 16 School Year","82","Wayne RESA","82170","Wyandotte, School District of the City of","04587","Woodrow Wilson School","LEA School","Suburb: Large","998","540","458","7","4","41","103","2","824","17","0","0","0","0","0","0","329","337","332","0","0","0","0","529","131","20"
"15 - 16 School Year","82","Wayne RESA","82170","Wyandotte, School District of the City of","02754","Wyandotte Public Schools Early Childhood Center","LEA Unique Education Provider","Not Specified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","43040","Baldwin Community Schools","00000","Administrative Unit","Administrative Unit","Rural: Remote","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
"15 - 16 School Year","53","West Shore Educational Service District","43040","Baldwin Community Schools","05826","Baldwin Elementary School","LEA School","Rural: Remote","331","170","161","1","2","63","23","1","179","62","48","46","55","56","45","46","35","0","0","0","0","0","0","312","49","<10"
"15 - 16 School Year","53","West Shore Educational Service District","43040","Baldwin Community Schools","05565","Baldwin Junior High School","LEA School","Rural: Remote","80","42","38","3","0","21","4","0","46","6","0","0","0","0","0","0","0","41","39","0","0","0","0","74","14","<10"
"15 - 16 School Year","53","West Shore Educational Service District","43040","Baldwin Community Schools","00181","Baldwin Senior High School","LEA School","Rural: Remote","133","64","69","0","1","51","3","0","77","1","0","0","0","0","0","0","0","0","0","47","34","30","22","121","17","<10"
"15 - 16 School Year","53","West Shore Educational Service District","53901","Gateway To Success Academy","00000","Administrative Unit","Administrative Unit","Rural: Distant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<10","<10"
